id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,individualCount,sex,lifeStage,occurrenceStatus,eventID,eventDate,eventTime,habitat,samplingProtocol,waterBody,country,locality,minimumDepthInMeters,maximumDepthInMeters,decimalLatitude,decimalLongitude,identificationQualifier,typeStatus,identifiedBy,dateIdentified,identificationReferences,scientificNameID,ScientificName
IO/DV/ECD/00352,CMLRE,voucher specimen collections,CMLRE,PreservedSpecimen,IO/DV/ECD/00352,IO/DV/ECD/00352,1,,Adult,present,,28-05-2019,11:00:00,Benthic,SCUBA Diving,Arabian Sea,India,"Agatti, Lakshadweep",24,24,10.861,72.21,,,"Usha VP, CMLRE",24-11-2020,"Clark, A. M., & Rowe, F. W. E. (1971). Monograph of shallow-water Indo-Pacific echinoderms. British Mus. (Nat. Hist.), London.",urn:lsid:marinespecies.org:taxname:213328,Comanthus wahlbergii
IO/DV/ECD/00353,CMLRE,voucher specimen collections,CMLRE,PreservedSpecimen,IO/DV/ECD/00353,IO/DV/ECD/00353,1,,Adult,present,,10-11-2018,15:00:00,Benthic,SCUBA Diving,Arabian Sea,India,"Agatti, Lakshadweep",28,28,10.869,72.206,,,"Usha VP, CMLRE",24-11-2020,"Clark, A. M., & Rowe, F. W. E. (1971). Monograph of shallow-water Indo-Pacific echinoderms. British Mus. (Nat. Hist.), London.",urn:lsid:marinespecies.org:taxname:246756,Comaster schlegelii
IO/DV/ECD/00354,CMLRE,voucher specimen collections,CMLRE,PreservedSpecimen,IO/DV/ECD/00354,IO/DV/ECD/00354,1,,Adult,present,,10-11-2018,15:00:00,Benthic,SCUBA Diving,Arabian Sea,India,"Agatti, Lakshadweep",28,28,10.869,72.206,,,"Usha VP, CMLRE",24-11-2020,"Clark, A. M., & Rowe, F. W. E. (1971). Monograph of shallow-water Indo-Pacific echinoderms. British Mus. (Nat. Hist.), London.",urn:lsid:marinespecies.org:taxname:367877,Himerometra robustipinna
IO/DV/ECD/00355,CMLRE,voucher specimen collections,CMLRE,PreservedSpecimen,IO/DV/ECD/00355,IO/DV/ECD/00355,1,,Adult,present,,10-11-2018,15:00:00,Benthic,SCUBA Diving,Arabian Sea,India,"Agatti, Lakshadweep",21,21,10.869,72.206,,,"Usha VP, CMLRE",24-11-2020,"Clark, A. M., & Rowe, F. W. E. (1971). Monograph of shallow-water Indo-Pacific echinoderms. British Mus. (Nat. Hist.), London.",urn:lsid:marinespecies.org:taxname:213596,Dichrometra palmata
IO/DV/ECD/00356,CMLRE,voucher specimen collections,CMLRE,PreservedSpecimen,IO/DV/ECD/00356,IO/DV/ECD/00356,1,,Adult,present,,10-11-2018,15:00:00,Benthic,SCUBA Diving,Arabian Sea,India,"Agatti, Lakshadweep",21,21,10.869,72.206,,,"Usha VP, CMLRE",24-11-2020,"Clark, A. M., & Rowe, F. W. E. (1971). Monograph of shallow-water Indo-Pacific echinoderms. British Mus. (Nat. Hist.), London.",urn:lsid:marinespecies.org:taxname:213328,Comanthus wahlbergii
IO/DV/ECD/00357,CMLRE,voucher specimen collections,CMLRE,PreservedSpecimen,IO/DV/ECD/00357,IO/DV/ECD/00357,1,,Adult,present,,06-05-2018,10:20:00,Benthic,SCUBA Diving,Arabian Sea,India,"Kavaratti, Lakshadweep",15,15,11.131,72.717,,,"Usha VP, CMLRE",24-11-2020,"Clark, A. M., & Rowe, F. W. E. (1971). Monograph of shallow-water Indo-Pacific echinoderms. British Mus. (Nat. Hist.), London.",urn:lsid:marinespecies.org:taxname:246756,Comaster schlegelii
IO/DV/ECD/00358,CMLRE,voucher specimen collections,CMLRE,PreservedSpecimen,IO/DV/ECD/00358,IO/DV/ECD/00358,1,,Adult,present,,12-12-2018,14:00:00,Benthic,SCUBA Diving,Arabian Sea,India,"Kavaratti, Lakshadweep",16,16,10.867,72.167,,,"Usha VP, CMLRE",24-11-2020,"Clark, A. M., & Rowe, F. W. E. (1971). Monograph of shallow-water Indo-Pacific echinoderms. British Mus. (Nat. Hist.), London.",urn:lsid:marinespecies.org:taxname:367877,Himerometra robustipinna
IO/DV/ECD/00367,CMLRE,voucher specimen collections,CMLRE,PreservedSpecimen,IO/DV/ECD/00367,IO/DV/ECD/00367,1,,Adult,present,,28-05-2019,11:00:00,Benthic,SCUBA Diving,Arabian Sea,India,"Agatti, Lakshadweep",24,24,10.861,72.21,,,"Usha VP, CMLRE",24-11-2020,"Clark, A. M., & Rowe, F. W. E. (1971). Monograph of shallow-water Indo-Pacific echinoderms. British Mus. (Nat. Hist.), London.",urn:lsid:marinespecies.org:taxname:213301,Fromia monilis
IO/DV/ECD/00369,CMLRE,voucher specimen collections,CMLRE,PreservedSpecimen,IO/DV/ECD/00369,IO/DV/ECD/00369,1,,Adult,present,,28-05-2019,11:00:00,Benthic,SCUBA Diving,Arabian Sea,India,"Agatti, Lakshadweep",24,24,10.861,72.21,,,"Usha VP, CMLRE",24-11-2020,"Clark, A. M., & Rowe, F. W. E. (1971). Monograph of shallow-water Indo-Pacific echinoderms. British Mus. (Nat. Hist.), London.",urn:lsid:marinespecies.org:taxname:213299,Fromia milleporella
IO/DV/ECD/00370,CMLRE,voucher specimen collections,CMLRE,PreservedSpecimen,IO/DV/ECD/00370,IO/DV/ECD/00370,1,,Juvenile,present,,28-05-2019,11:00:00,Benthic,SCUBA Diving,Arabian Sea,India,"Agatti, Lakshadweep",24,24,10.861,72.21,,,"Usha VP, CMLRE",24-11-2020,"Clark, A. M., & Rowe, F. W. E. (1971). Monograph of shallow-water Indo-Pacific echinoderms. British Mus. (Nat. Hist.), London.",urn:lsid:marinespecies.org:taxname:178200,Mithrodia clavigera
IO/DV/ECD/00372,CMLRE,voucher specimen collections,CMLRE,PreservedSpecimen,IO/DV/ECD/00372,IO/DV/ECD/00372,1,,Adult,present,,28-05-2019,11:00:00,Benthic,SCUBA Diving,Arabian Sea,India,"Agatti, Lakshadweep",24,24,10.861,72.21,,,"Usha VP, CMLRE",24-11-2020,"Clark, A. M., & Rowe, F. W. E. (1971). Monograph of shallow-water Indo-Pacific echinoderms. British Mus. (Nat. Hist.), London.",urn:lsid:marinespecies.org:taxname:459524,Aquilonastra burtoni
IO/DV/ECD/00418,CMLRE,voucher specimen collections,CMLRE,PreservedSpecimen,IO/DV/ECD/00418,IO/DV/ECD/00418,1,,Adult,present,,07-05-2018,,Benthic,SCUBA Diving,Arabian Sea,India,"Agatti, Lakshadweep",15,15,10.869,72.206,,,"Usha VP, CMLRE",06-01-2021,"Clark, A. M., & Rowe, F. W. E. (1971). Monograph of shallow-water Indo-Pacific echinoderms. British Mus. (Nat. Hist.), London.",urn:lsid:marinespecies.org:taxname:210772,Pearsonothuria graeffei
IO/DV/GAS/00021,CMLRE,voucher specimen collections,CMLRE,PreservedSpecimen,IO/DV/GAS/00021,IO/DV/GAS/00021,1,Hermaphrodite,Adult,present,,03-05-2018,11:30:00,Benthic,SCUBA Diving,Arabian Sea,India,Agatti Island (Lagoon),10,10,10.86,72.18,,,"Sudhanshu Dixit, CMLRE",,"Carmona, L., Pola, M., Gosliner, T.M., Cervera, J.L., 2014. Review of Baeolidia, the largest genus of Aeolidiidae (Mollusca: Nudibranchia), with the description of five new species. Zootaxa 3802 (4), 477â€“514.",urn:lsid:marinespecies.org:taxname:730416,Baeolidia moebii
IO/DV/GAS/00022,CMLRE,voucher specimen collections,CMLRE,PreservedSpecimen,IO/DV/GAS/00022,IO/DV/GAS/00022,1,Hermaphrodite,Adult,present,,03-05-2018,11:30:00,Benthic,SCUBA Diving,Arabian Sea,India,Agatti Island (Lagoon),10,10,10.86,72.18,,,"Sudhanshu Dixit, CMLRE",,"Carmona, L., Pola, M., Gosliner, T.M., Cervera, J.L., 2014. Review of Baeolidia, the largest genus of Aeolidiidae (Mollusca: Nudibranchia), with the description of five new species. Zootaxa 3802 (4), 477â€“514.",urn:lsid:marinespecies.org:taxname:730417,Baeolidia moebii
IO/DV/GAS/00023,CMLRE,voucher specimen collections,CMLRE,PreservedSpecimen,IO/DV/GAS/00023,IO/DV/GAS/00023,1,Hermaphrodite,Adult,present,,01-05-2018,09:30:00,Benthic,SCUBA Diving,Arabian Sea,India,Agatti Island (Lagoon),18,18,10.86,72.18,,,"Sudhanshu Dixit, CMLRE",22-06-2018,"Gosliner TM, Behrens DW, Valdes A. 2008. Indo Pacific Nudibranchs and Sea Slugs. Sea Challengers, pp425",urn:lsid:marinespecies.org:taxname:599550,Phyllidia alyta
IO/DV/GAS/00024,CMLRE,voucher specimen collections,CMLRE,PreservedSpecimen,IO/DV/GAS/00024,IO/DV/GAS/00024,1,Hermaphrodite,Adult,present,,03-05-2018,11:40:00,Benthic,SCUBA Diving,Arabian Sea,India,Agatti Island (Eatern Jetty),10,10,10.86,72.2,,,"Sudhanshu Dixit, CMLRE",22-06-2018,"Gosliner TM, Behrens DW, Valdes A. 2008. Indo Pacific Nudibranchs and Sea Slugs. Sea Challengers, pp425",urn:lsid:marinespecies.org:taxname:420528,Chelidonura hirundinina
IO/DV/GAS/00025,CMLRE,voucher specimen collections,CMLRE,PreservedSpecimen,IO/DV/GAS/00025,IO/DV/GAS/00025,1,Hermaphrodite,Adult,present,,04-05-2018,11:55:00,Benthic,SCUBA Diving,Arabian Sea,India,Agatti Island (Eatern Jetty),10,10,10.86,72.2,,,"Sudhanshu Dixit, CMLRE",22-06-2018,"Gosliner TM, Behrens DW, Valdes A. 2008. Indo Pacific Nudibranchs and Sea Slugs. Sea Challengers, pp425",urn:lsid:marinespecies.org:taxname:221070,Phyllidiella zeylanica
IO/DV/GAS/00027,CMLRE,voucher specimen collections,CMLRE,PreservedSpecimen,IO/DV/GAS/00027,IO/DV/GAS/00027,1,Hermaphrodite,Adult,present,,08-05-2018,09:30:00,Benthic,SCUBA Diving,Arabian Sea,India,Outside lagoon (Agatti Island),15,15,10.87,72.17,,,"Sudhanshu Dixit, CMLRE",28-06-2018,"Gosliner TM, Behrens DW, Valdes A. 2008. Indo Pacific Nudibranchs and Sea Slugs. Sea Challengers, pp425",urn:lsid:marinespecies.org:taxname:536695,Phyllidiella rosans
IO/DV/GAS/00028,CMLRE,voucher specimen collections,CMLRE,PreservedSpecimen,IO/DV/GAS/00028,IO/DV/GAS/00028,1,Hermaphrodite,Adult,present,,08-05-2018,09:40:00,Benthic,SCUBA Diving,Arabian Sea,India,Outside lagoon (Agatti Island),15,15,10.87,72.17,,,"Sudhanshu Dixit, CMLRE",28-06-2018,"Gosliner TM, Behrens DW, Valdes A. 2008. Indo Pacific Nudibranchs and Sea Slugs. Sea Challengers, pp425",urn:lsid:marinespecies.org:taxname:536724,Phyllidiopsis phiphiensis
IO/DV/GAS/00029,CMLRE,voucher specimen collections,CMLRE,PreservedSpecimen,IO/DV/GAS/00029,IO/DV/GAS/00029,1,Hermaphrodite,Adult,present,,08-05-2018,09:50:00,Benthic,SCUBA Diving,Arabian Sea,India,Outside lagoon (Agatti Island),15,15,10.87,72.17,,,"Sudhanshu Dixit, CMLRE",28-06-2018,"Gosliner TM, Behrens DW, Valdes A. 2008. Indo Pacific Nudibranchs and Sea Slugs. Sea Challengers, pp425",urn:lsid:marinespecies.org:taxname:866658,Verconia norba
IO/DV/GAS/00036,CMLRE,voucher specimen collections,CMLRE,PreservedSpecimen,IO/DV/GAS/00036,IO/DV/GAS/00036,1,Hermaphrodite,Adult,present,,01-02-2019,09:30:00,Benthic,SCUBA Diving,Arabian Sea,India,Agatti Island (western side),22,22,10.94,72.22,,,"Sudhanshu Dixit, CMLRE",08-03-2019,"Gosliner TM, Behrens DW, Valdes A. 2008. Indo Pacific Nudibranchs and Sea Slugs. Sea Challengers, pp425",urn:lsid:marinespecies.org:taxname:536579,Phyllidia marindica
IO/DV/GAS/00037,CMLRE,voucher specimen collections,CMLRE,PreservedSpecimen,IO/DV/GAS/00037,IO/DV/GAS/00037,1,Hermaphrodite,Adult,present,,02-02-2019,10:30:00,Benthic,SCUBA Diving,Arabian Sea,India,Agatti Island (Solar Point dive site),28,28,10.84,72.19,,,"Sudhanshu Dixit, CMLRE",09-03-2019,"Gosliner TM, Behrens DW, Valdes A. 2008. Indo Pacific Nudibranchs and Sea Slugs. Sea Challengers, pp425",urn:lsid:marinespecies.org:taxname:221080,Halgerda tessellata
IO/DV/GAS/00045,CMLRE,voucher specimen collections,CMLRE,PreservedSpecimen,IO/DV/GAS/00045,IO/DV/GAS/00045,1,Hermaphrodite,Adult,present,,24-12-2019,11:00:00,Benthic,SCUBA Diving,Arabian Sea,India,Angria Bank,32,32,16.21,72.09,,,"Sudhanshu Dixit, CMLRE",30-12-2019,"Gosliner TM, Behrens DW, Valdes A. 2008. Indo Pacific Nudibranchs and Sea Slugs. Sea Challengers, pp425",urn:lsid:marinespecies.org:taxname:599550,Phyllidia alyta
IO/DV/GAS/00046,CMLRE,voucher specimen collections,CMLRE,PreservedSpecimen,IO/DV/GAS/00046,IO/DV/GAS/00046,1,Hermaphrodite,Adult,present,,10-05-2019,12:00:00,Benthic,SCUBA Diving,Arabian Sea,India,Angria Bank,35,35,16.24,72.06,,,"Sudhanshu Dixit, CMLRE",30-12-2019,"Gosliner TM, Behrens DW, Valdes A. 2008. Indo Pacific Nudibranchs and Sea Slugs. Sea Challengers, pp425",urn:lsid:marinespecies.org:taxname:599531,Taringa caudata
IO/DV/GAS/00047,CMLRE,voucher specimen collections,CMLRE,PreservedSpecimen,IO/DV/GAS/00047,IO/DV/GAS/00047,1,Hermaphrodite,Adult,present,,07-05-2018,09:30:00,Benthic,SCUBA Diving,Arabian Sea,India,Near Eastern jetty (Agatti Island),15,15,10.86,72.2,,,"Sudhanshu Dixit, CMLRE",28-06-2020,,urn:lsid:marinespecies.org:taxname:536623,Phyllidia ocellata
IO/DV/GAS/00048,CMLRE,voucher specimen collections,CMLRE,PreservedSpecimen,IO/DV/GAS/00048,IO/DV/GAS/00048,2,Hermaphrodite,Adult,present,,03-05-2018,11:40:00,Benthic,SCUBA Diving,Arabian Sea,India,Agatti Island (Lagoon),10,10,10.86,72.18,,,"Sudhanshu Dixit, CMLRE",28-06-2020,"Too, C.C., Carlson, C., Hoff, P.J. and Malaquias, M.A.E., 2014. Diversity and systematics of Haminoeidae gastropods (Heterobranchia: Cephalaspidea) in the tropical West Pacific Ocean: new data on the genera Aliculastrum, Atys, Diniatys and Liloa. Zootaxa",urn:lsid:marinespecies.org:taxname:599460,Diniatys dubia
IO/DV/GAS/00049,CMLRE,voucher specimen collections,CMLRE,PreservedSpecimen,IO/DV/GAS/00049,IO/DV/GAS/00049,1,Hermaphrodite,Adult,present,,03-05-2018,11:40:00,Benthic,SCUBA Diving,Arabian Sea,India,Agatti Island (Lagoon),10,10,10.86,72.18,,,"Sudhanshu Dixit, CMLRE",28-06-2020,"Too, C.C., Carlson, C., Hoff, P.J. and Malaquias, M.A.E., 2014. Diversity and systematics of Haminoeidae gastropods (Heterobranchia: Cephalaspidea) in the tropical West Pacific Ocean: new data on the genera Aliculastrum, Atys, Diniatys and Liloa. Zootaxa",urn:lsid:marinespecies.org:taxname:599460,Diniatys dubia
IO/DV/GAS/00050,CMLRE,voucher specimen collections,CMLRE,PreservedSpecimen,IO/DV/GAS/00050,IO/DV/GAS/00050,1,Hermaphrodite,Adult,present,,03-05-2018,11:40:00,Benthic,SCUBA Diving,Arabian Sea,India,Agatti Island (Lagoon),10,10,10.86,72.18,,,"Sudhanshu Dixit, CMLRE",28-06-2020,"Too, C.C., Carlson, C., Hoff, P.J. and Malaquias, M.A.E., 2014. Diversity and systematics of Haminoeidae gastropods (Heterobranchia: Cephalaspidea) in the tropical West Pacific Ocean: new data on the genera Aliculastrum, Atys, Diniatys and Liloa. Zootaxa",urn:lsid:marinespecies.org:taxname:599460,Diniatys dubia
IO/DV/POY/00002,CMLRE,voucher specimen collections,CMLRE,PreservedSpecimen,IO/DV/POY/00002,IO/DV/POY/00002,1,Hermaphrodite,Adult,present,,03-05-2018,11:30:00,Benthic,SCUBA Diving,Arabian Sea,India,Eastern jetty (Agatti Island),15,15,10.87,72.17,,,"Sudhanshu Dixit, CMLRE",11-07-2018,"Newman, L. J.; Cannon, L. R. G. (1997). Nine new species of Pseudobiceros (Platyhelminthes, Polycladida) from the Indo-Pacific. Raffles Bull Zoology., 45: 341-368.",urn:lsid:marinespecies.org:taxname:878956,Pseudobiceros hymanae
IO/DV/POY/00004,CMLRE,voucher specimen collections,CMLRE,PreservedSpecimen,IO/DV/POY/00004,IO/DV/POY/00004,1,Hermaphrodite,,present,,05-05-2018,10:40:00,Benthic,SCUBA Diving,Arabian Sea,India,Eastern jetty (Agatti Island),15,15,10.87,72.18,,,"Sudhanshu Dixit, CMLRE",11-07-2018,"Bahia, J., Padula, V., Passeri Lavrado, H. & Quiroga, S. (2014) Taxonomy of Cotylea (Platyhelminthes: Polycladida) from Cabo Frio, southeastern Brazil, with the description of a new species. Zootaxa, 3873 (5), 495â€“525. http://dx.doi.org/10.11646/zootaxa.3873.5.3",urn:lsid:marinespecies.org:taxname:483942,Pseudoceros bicolor
IO/DV/POY/00028,CMLRE,voucher specimen collections,CMLRE,PreservedSpecimen,IO/DV/POY/00028,IO/DV/POY/00028,1,Hermaphrodite,Adult,present,,06-05-2019,13:30:00,Benthic,Hand Picking,Arabian Sea,India,"Solar Point, Agatti Island",32,32,10.84,72.19,,Holotype,"Sudhanshu Dixit, CMLRE",10-03-2020,"Newman, L. J.; Cannon, L. R. G. (1994). Pseudoceros and Pseudobiceros (Platyhelminthes, Polycladida, Pseudocerotidae) form eastern Australia and Papua New Guinea. Memoirs of the Queensland Museum, 37(1):205-266.",urn:lsid:marinespecies.org:taxname:1498468,Pseudoceros bipurpureus
IO/IT/CAR/00123,CMLRE,voucher specimen collections,CMLRE,PreservedSpecimen,IO/IT/CAR/00123,IO/IT/CAR/00123,3,Male,Adult,present,,2018/2019,,Benthic,Hand picking,Arabian Sea,India,"Agatti Island, Lakshadweep",,,10.83,72.19,,,"P. Purushothaman, CMLRE",18-08-2022,"Chace FAJr. (1988). The caridean shrimps (Crustacea: Decapoda) of the Albatross Philippine Expedition, 1907–1910, Part 5: family Alpheidae. Smithsonian Contributions to Zoology 466: 1–99. https://doi.org/10.5479/si.19436696.391.3",urn:lsid:marinespecies.org:taxname:210549,Alpheus frontalis
IO/IT/CAR/00124,CMLRE,voucher specimen collections,CMLRE,PreservedSpecimen,IO/IT/CAR/00124,IO/IT/CAR/00124,1,Female,Adult,present,,2018/2019,,Benthic,Hand picking,Arabian Sea,India,"Agatti Island, Lakshadweep",,,10.83,72.19,,,"P. Purushothaman, CMLRE",18-08-2022,"Chace FAJr. (1988). The caridean shrimps (Crustacea: Decapoda) of the Albatross Philippine Expedition, 1907–1910, Part 5: family Alpheidae. Smithsonian Contributions to Zoology 466: 1–99. https://doi.org/10.5479/si.19436696.391.4",urn:lsid:marinespecies.org:taxname:210544,Alpheus lottini
IO/IT/CAR/00125,CMLRE,voucher specimen collections,CMLRE,PreservedSpecimen,IO/IT/CAR/00125,IO/IT/CAR/00125,1,Female,Adult,present,,2018/2019,,Benthic,Hand picking,Arabian Sea,India,"Agatti Island, Lakshadweep",,,10.83,72.19,?sulcipalma,,"P. Purushothaman, CMLRE",19-08-2022,"Chace FAJr. (1988). The caridean shrimps (Crustacea: Decapoda) of the Albatross Philippine Expedition, 1907–1910, Part 5: family Alpheidae. Smithsonian Contributions to Zoology 466: 1–99. https://doi.org/10.5479/si.19436696.391.5",urn:lsid:marinespecies.org:taxname:106978,Alpheus sp.
IO/IT/CAR/00126,CMLRE,voucher specimen collections,CMLRE,PreservedSpecimen,IO/IT/CAR/00126,IO/IT/CAR/00126,1,Female,Adult,present,,2018/2019,,Benthic,Hand picking,Arabian Sea,India,"Agatti Island, Lakshadweep",,,10.83,72.19,,,"P. Purushothaman, CMLRE",19-08-2022,"Mendez, O. V., Perez, A. L., Guerrero, B. M., Perez, V. A. and Chavez, E. R. (2017). A new record of Harlequin Shrimp (Malacostraca: Decapoda: Palaemonidae: Hymenocera picta Dana, 1852) in the southern Mexican Pacific Reefs. Journal of Threatened Taxa, 9(8), 10571-10576.",urn:lsid:marinespecies.org:taxname:210554,Hymenocera picta
IO/IT/ECD/00142,CMLRE,voucher specimen collections,CMLRE,PreservedSpecimen,IO/IT/ECD/00142,IO/IT/ECD/00142,1,,Adult,present,,28-05-2016,,Benthic,Hand,Arabian Sea,India,"Agatti, Lakshadweep",1,1,10.5,73,,,"Usha VP, CMLRE",06-10-2016,"Clark, A. M., & Rowe, F. W. E. (1971). Monograph of shallow-water Indo-Pacific echinoderms. British Mus. (Nat. Hist.), London.",urn:lsid:marinespecies.org:taxname:213377,Echinothrix calamaris
IO/IT/ECD/00160,CMLRE,voucher specimen collections,CMLRE,PreservedSpecimen,IO/IT/ECD/00160,IO/IT/ECD/00160,1,,Adult,present,,07-11-2018,,Benthic,Hand,Arabian Sea,India,"Agatti, Lakshadweep",1,1,10.844529,72.18395,,,"Usha VP, CMLRE",29-10-2018,"Clark, A. M., & Rowe, F. W. E. (1971). Monograph of shallow-water Indo-Pacific echinoderms. British Mus. (Nat. Hist.), London.",urn:lsid:marinespecies.org:taxname:212453,Tripneustes gratilla
IO/IT/ECD/00195,CMLRE,voucher specimen collections,CMLRE,PreservedSpecimen,IO/IT/ECD/00195,IO/IT/ECD/00195,1,,Adult,present,,12-12-2016,,Benthic,Hand,Arabian Sea,India,"Kavaratti, Lakshadweep",1,1,10.559824,72.627216,,,"Usha VP, CMLRE",29-10-2018,"Clark, A. M., & Rowe, F. W. E. (1971). Monograph of shallow-water Indo-Pacific echinoderms. British Mus. (Nat. Hist.), London.",urn:lsid:marinespecies.org:taxname:213195,Macrophiothrix longipeda
