id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,individualCount,sex,lifeStage,occurrenceStatus,eventID,eventDate,eventTime,habitat,samplingProtocol,waterBody,country,locality,minimumDepthInMeters,maximumDepthInMeters,decimalLatitude,decimalLongitude,identificationQualifier,typeStatus,identifiedBy,dateIdentified,identificationReferences,scientificNameID,ScientificName,aphiaid,lsid,status,scientificName,kingdom,phylum,class,order,family,genus,species,marine,brackish
IO/DV/ECD/00352,CMLRE,voucher specimen collections,CMLRE,PreservedSpecimen,IO/DV/ECD/00352,IO/DV/ECD/00352,1,,Adult,present,,28-05-2019,11:00:00,Benthic,SCUBA Diving,Arabian Sea,India,"Agatti, Lakshadweep",24.0,24.0,10.861,72.21,,,"Usha VP, CMLRE",24-11-2020,"Clark, A. M., & Rowe, F. W. E. (1971). Monograph of shallow-water Indo-Pacific echinoderms. British Mus. (Nat. Hist.), London.",urn:lsid:marinespecies.org:taxname:213328,Comanthus wahlbergii,,,,,,,,,,,,,
IO/DV/ECD/00353,CMLRE,voucher specimen collections,CMLRE,PreservedSpecimen,IO/DV/ECD/00353,IO/DV/ECD/00353,1,,Adult,present,,10-11-2018,15:00:00,Benthic,SCUBA Diving,Arabian Sea,India,"Agatti, Lakshadweep",28.0,28.0,10.869,72.206,,,"Usha VP, CMLRE",24-11-2020,"Clark, A. M., & Rowe, F. W. E. (1971). Monograph of shallow-water Indo-Pacific echinoderms. British Mus. (Nat. Hist.), London.",urn:lsid:marinespecies.org:taxname:246756,Comaster schlegelii,246756.0,urn:lsid:marinespecies.org:taxname:246756,accepted,Comaster schlegelii,Animalia,Echinodermata,Crinoidea,Comatulida,Comatulidae,Comaster,,1.0,0.0
IO/DV/ECD/00354,CMLRE,voucher specimen collections,CMLRE,PreservedSpecimen,IO/DV/ECD/00354,IO/DV/ECD/00354,1,,Adult,present,,10-11-2018,15:00:00,Benthic,SCUBA Diving,Arabian Sea,India,"Agatti, Lakshadweep",28.0,28.0,10.869,72.206,,,"Usha VP, CMLRE",24-11-2020,"Clark, A. M., & Rowe, F. W. E. (1971). Monograph of shallow-water Indo-Pacific echinoderms. British Mus. (Nat. Hist.), London.",urn:lsid:marinespecies.org:taxname:367877,Himerometra robustipinna,367877.0,urn:lsid:marinespecies.org:taxname:367877,accepted,Himerometra robustipinna,Animalia,Echinodermata,Crinoidea,Comatulida,Himerometridae,Himerometra,,1.0,0.0
IO/DV/ECD/00355,CMLRE,voucher specimen collections,CMLRE,PreservedSpecimen,IO/DV/ECD/00355,IO/DV/ECD/00355,1,,Adult,present,,10-11-2018,15:00:00,Benthic,SCUBA Diving,Arabian Sea,India,"Agatti, Lakshadweep",21.0,21.0,10.869,72.206,,,"Usha VP, CMLRE",24-11-2020,"Clark, A. M., & Rowe, F. W. E. (1971). Monograph of shallow-water Indo-Pacific echinoderms. British Mus. (Nat. Hist.), London.",urn:lsid:marinespecies.org:taxname:213596,Dichrometra palmata,213596.0,urn:lsid:marinespecies.org:taxname:213596,accepted,Dichrometra palmata,Animalia,Echinodermata,Crinoidea,Comatulida,Mariametridae,Dichrometra,,1.0,0.0
IO/DV/ECD/00356,CMLRE,voucher specimen collections,CMLRE,PreservedSpecimen,IO/DV/ECD/00356,IO/DV/ECD/00356,1,,Adult,present,,10-11-2018,15:00:00,Benthic,SCUBA Diving,Arabian Sea,India,"Agatti, Lakshadweep",21.0,21.0,10.869,72.206,,,"Usha VP, CMLRE",24-11-2020,"Clark, A. M., & Rowe, F. W. E. (1971). Monograph of shallow-water Indo-Pacific echinoderms. British Mus. (Nat. Hist.), London.",urn:lsid:marinespecies.org:taxname:213328,Comanthus wahlbergii,213328.0,urn:lsid:marinespecies.org:taxname:213328,accepted,Comanthus wahlbergii,Animalia,Echinodermata,Crinoidea,Comatulida,Comatulidae,Comanthus,,1.0,0.0
IO/DV/ECD/00357,CMLRE,voucher specimen collections,CMLRE,PreservedSpecimen,IO/DV/ECD/00357,IO/DV/ECD/00357,1,,Adult,present,,06-05-2018,10:20:00,Benthic,SCUBA Diving,Arabian Sea,India,"Kavaratti, Lakshadweep",15.0,15.0,11.131,72.717,,,"Usha VP, CMLRE",24-11-2020,"Clark, A. M., & Rowe, F. W. E. (1971). Monograph of shallow-water Indo-Pacific echinoderms. British Mus. (Nat. Hist.), London.",urn:lsid:marinespecies.org:taxname:246756,Comaster schlegelii,,,,,,,,,,,,,
IO/DV/ECD/00358,CMLRE,voucher specimen collections,CMLRE,PreservedSpecimen,IO/DV/ECD/00358,IO/DV/ECD/00358,1,,Adult,present,,12-12-2018,14:00:00,Benthic,SCUBA Diving,Arabian Sea,India,"Kavaratti, Lakshadweep",16.0,16.0,10.867,72.167,,,"Usha VP, CMLRE",24-11-2020,"Clark, A. M., & Rowe, F. W. E. (1971). Monograph of shallow-water Indo-Pacific echinoderms. British Mus. (Nat. Hist.), London.",urn:lsid:marinespecies.org:taxname:367877,Himerometra robustipinna,367877.0,urn:lsid:marinespecies.org:taxname:367877,accepted,Himerometra robustipinna,Animalia,Echinodermata,Crinoidea,Comatulida,Himerometridae,Himerometra,,1.0,0.0
IO/DV/ECD/00367,CMLRE,voucher specimen collections,CMLRE,PreservedSpecimen,IO/DV/ECD/00367,IO/DV/ECD/00367,1,,Adult,present,,28-05-2019,11:00:00,Benthic,SCUBA Diving,Arabian Sea,India,"Agatti, Lakshadweep",24.0,24.0,10.861,72.21,,,"Usha VP, CMLRE",24-11-2020,"Clark, A. M., & Rowe, F. W. E. (1971). Monograph of shallow-water Indo-Pacific echinoderms. British Mus. (Nat. Hist.), London.",urn:lsid:marinespecies.org:taxname:213301,Fromia monilis,,,,,,,,,,,,,
IO/DV/ECD/00369,CMLRE,voucher specimen collections,CMLRE,PreservedSpecimen,IO/DV/ECD/00369,IO/DV/ECD/00369,1,,Adult,present,,28-05-2019,11:00:00,Benthic,SCUBA Diving,Arabian Sea,India,"Agatti, Lakshadweep",24.0,24.0,10.861,72.21,,,"Usha VP, CMLRE",24-11-2020,"Clark, A. M., & Rowe, F. W. E. (1971). Monograph of shallow-water Indo-Pacific echinoderms. British Mus. (Nat. Hist.), London.",urn:lsid:marinespecies.org:taxname:213299,Fromia milleporella,213299.0,urn:lsid:marinespecies.org:taxname:213299,accepted,Fromia milleporella,Animalia,Echinodermata,Asteroidea,Valvatida,Goniasteridae,Fromia,,1.0,0.0
IO/DV/ECD/00370,CMLRE,voucher specimen collections,CMLRE,PreservedSpecimen,IO/DV/ECD/00370,IO/DV/ECD/00370,1,,Juvenile,present,,28-05-2019,11:00:00,Benthic,SCUBA Diving,Arabian Sea,India,"Agatti, Lakshadweep",24.0,24.0,10.861,72.21,,,"Usha VP, CMLRE",24-11-2020,"Clark, A. M., & Rowe, F. W. E. (1971). Monograph of shallow-water Indo-Pacific echinoderms. British Mus. (Nat. Hist.), London.",urn:lsid:marinespecies.org:taxname:178200,Mithrodia clavigera,,,,,,,,,,,,,
IO/DV/ECD/00372,CMLRE,voucher specimen collections,CMLRE,PreservedSpecimen,IO/DV/ECD/00372,IO/DV/ECD/00372,1,,Adult,present,,28-05-2019,11:00:00,Benthic,SCUBA Diving,Arabian Sea,India,"Agatti, Lakshadweep",24.0,24.0,10.861,72.21,,,"Usha VP, CMLRE",24-11-2020,"Clark, A. M., & Rowe, F. W. E. (1971). Monograph of shallow-water Indo-Pacific echinoderms. British Mus. (Nat. Hist.), London.",urn:lsid:marinespecies.org:taxname:459524,Aquilonastra burtoni,,,,,,,,,,,,,
IO/DV/ECD/00418,CMLRE,voucher specimen collections,CMLRE,PreservedSpecimen,IO/DV/ECD/00418,IO/DV/ECD/00418,1,,Adult,present,,07-05-2018,,Benthic,SCUBA Diving,Arabian Sea,India,"Agatti, Lakshadweep",15.0,15.0,10.869,72.206,,,"Usha VP, CMLRE",06-01-2021,"Clark, A. M., & Rowe, F. W. E. (1971). Monograph of shallow-water Indo-Pacific echinoderms. British Mus. (Nat. Hist.), London.",urn:lsid:marinespecies.org:taxname:210772,Pearsonothuria graeffei,210772.0,urn:lsid:marinespecies.org:taxname:210772,accepted,Pearsonothuria graeffei,Animalia,Echinodermata,Holothuroidea,Holothuriida,Holothuriidae,Pearsonothuria,,1.0,0.0
IO/DV/GAS/00021,CMLRE,voucher specimen collections,CMLRE,PreservedSpecimen,IO/DV/GAS/00021,IO/DV/GAS/00021,1,Hermaphrodite,Adult,present,,03-05-2018,11:30:00,Benthic,SCUBA Diving,Arabian Sea,India,Agatti Island (Lagoon),10.0,10.0,10.86,72.18,,,"Sudhanshu Dixit, CMLRE",,"Carmona, L., Pola, M., Gosliner, T.M., Cervera, J.L., 2014. Review of Baeolidia, the largest genus of Aeolidiidae (Mollusca: Nudibranchia), with the description of five new species. Zootaxa 3802 (4), 477â€“514.",urn:lsid:marinespecies.org:taxname:730416,Baeolidia moebii,730416.0,urn:lsid:marinespecies.org:taxname:730416,accepted,Baeolidia moebii,Animalia,Mollusca,Gastropoda,Nudibranchia,Aeolidiidae,Baeolidia,,1.0,
IO/DV/GAS/00022,CMLRE,voucher specimen collections,CMLRE,PreservedSpecimen,IO/DV/GAS/00022,IO/DV/GAS/00022,1,Hermaphrodite,Adult,present,,03-05-2018,11:30:00,Benthic,SCUBA Diving,Arabian Sea,India,Agatti Island (Lagoon),10.0,10.0,10.86,72.18,,,"Sudhanshu Dixit, CMLRE",,"Carmona, L., Pola, M., Gosliner, T.M., Cervera, J.L., 2014. Review of Baeolidia, the largest genus of Aeolidiidae (Mollusca: Nudibranchia), with the description of five new species. Zootaxa 3802 (4), 477â€“514.",urn:lsid:marinespecies.org:taxname:730417,Baeolidia moebii,,,,,,,,,,,,,
IO/DV/GAS/00023,CMLRE,voucher specimen collections,CMLRE,PreservedSpecimen,IO/DV/GAS/00023,IO/DV/GAS/00023,1,Hermaphrodite,Adult,present,,01-05-2018,09:30:00,Benthic,SCUBA Diving,Arabian Sea,India,Agatti Island (Lagoon),18.0,18.0,10.86,72.18,,,"Sudhanshu Dixit, CMLRE",22-06-2018,"Gosliner TM, Behrens DW, Valdes A. 2008. Indo Pacific Nudibranchs and Sea Slugs. Sea Challengers, pp425",urn:lsid:marinespecies.org:taxname:599550,Phyllidia alyta,599550.0,urn:lsid:marinespecies.org:taxname:599550,accepted,Phyllidia alyta,Animalia,Mollusca,Gastropoda,Doridida,Phyllidiidae,Phyllidia,,1.0,0.0
IO/DV/GAS/00024,CMLRE,voucher specimen collections,CMLRE,PreservedSpecimen,IO/DV/GAS/00024,IO/DV/GAS/00024,1,Hermaphrodite,Adult,present,,03-05-2018,11:40:00,Benthic,SCUBA Diving,Arabian Sea,India,Agatti Island (Eatern Jetty),10.0,10.0,10.86,72.2,,,"Sudhanshu Dixit, CMLRE",22-06-2018,"Gosliner TM, Behrens DW, Valdes A. 2008. Indo Pacific Nudibranchs and Sea Slugs. Sea Challengers, pp425",urn:lsid:marinespecies.org:taxname:420528,Chelidonura hirundinina,,,,,,,,,,,,,
IO/DV/GAS/00025,CMLRE,voucher specimen collections,CMLRE,PreservedSpecimen,IO/DV/GAS/00025,IO/DV/GAS/00025,1,Hermaphrodite,Adult,present,,04-05-2018,11:55:00,Benthic,SCUBA Diving,Arabian Sea,India,Agatti Island (Eatern Jetty),10.0,10.0,10.86,72.2,,,"Sudhanshu Dixit, CMLRE",22-06-2018,"Gosliner TM, Behrens DW, Valdes A. 2008. Indo Pacific Nudibranchs and Sea Slugs. Sea Challengers, pp425",urn:lsid:marinespecies.org:taxname:221070,Phyllidiella zeylanica,,,,,,,,,,,,,
IO/DV/GAS/00027,CMLRE,voucher specimen collections,CMLRE,PreservedSpecimen,IO/DV/GAS/00027,IO/DV/GAS/00027,1,Hermaphrodite,Adult,present,,08-05-2018,09:30:00,Benthic,SCUBA Diving,Arabian Sea,India,Outside lagoon (Agatti Island),15.0,15.0,10.87,72.17,,,"Sudhanshu Dixit, CMLRE",28-06-2018,"Gosliner TM, Behrens DW, Valdes A. 2008. Indo Pacific Nudibranchs and Sea Slugs. Sea Challengers, pp425",urn:lsid:marinespecies.org:taxname:536695,Phyllidiella rosans,536695.0,urn:lsid:marinespecies.org:taxname:536695,accepted,Phyllidiella rosans,Animalia,Mollusca,Gastropoda,Doridida,Phyllidiidae,Phyllidiella,,1.0,
IO/DV/GAS/00028,CMLRE,voucher specimen collections,CMLRE,PreservedSpecimen,IO/DV/GAS/00028,IO/DV/GAS/00028,1,Hermaphrodite,Adult,present,,08-05-2018,09:40:00,Benthic,SCUBA Diving,Arabian Sea,India,Outside lagoon (Agatti Island),15.0,15.0,10.87,72.17,,,"Sudhanshu Dixit, CMLRE",28-06-2018,"Gosliner TM, Behrens DW, Valdes A. 2008. Indo Pacific Nudibranchs and Sea Slugs. Sea Challengers, pp425",urn:lsid:marinespecies.org:taxname:536724,Phyllidiopsis phiphiensis,,,,,,,,,,,,,
IO/DV/GAS/00029,CMLRE,voucher specimen collections,CMLRE,PreservedSpecimen,IO/DV/GAS/00029,IO/DV/GAS/00029,1,Hermaphrodite,Adult,present,,08-05-2018,09:50:00,Benthic,SCUBA Diving,Arabian Sea,India,Outside lagoon (Agatti Island),15.0,15.0,10.87,72.17,,,"Sudhanshu Dixit, CMLRE",28-06-2018,"Gosliner TM, Behrens DW, Valdes A. 2008. Indo Pacific Nudibranchs and Sea Slugs. Sea Challengers, pp425",urn:lsid:marinespecies.org:taxname:866658,Verconia norba,,,,,,,,,,,,,
IO/DV/GAS/00036,CMLRE,voucher specimen collections,CMLRE,PreservedSpecimen,IO/DV/GAS/00036,IO/DV/GAS/00036,1,Hermaphrodite,Adult,present,,01-02-2019,09:30:00,Benthic,SCUBA Diving,Arabian Sea,India,Agatti Island (western side),22.0,22.0,10.94,72.22,,,"Sudhanshu Dixit, CMLRE",08-03-2019,"Gosliner TM, Behrens DW, Valdes A. 2008. Indo Pacific Nudibranchs and Sea Slugs. Sea Challengers, pp425",urn:lsid:marinespecies.org:taxname:536579,Phyllidia marindica,536579.0,urn:lsid:marinespecies.org:taxname:536579,accepted,Phyllidia marindica,Animalia,Mollusca,Gastropoda,Doridida,Phyllidiidae,Phyllidia,,1.0,0.0
IO/DV/GAS/00037,CMLRE,voucher specimen collections,CMLRE,PreservedSpecimen,IO/DV/GAS/00037,IO/DV/GAS/00037,1,Hermaphrodite,Adult,present,,02-02-2019,10:30:00,Benthic,SCUBA Diving,Arabian Sea,India,Agatti Island (Solar Point dive site),28.0,28.0,10.84,72.19,,,"Sudhanshu Dixit, CMLRE",09-03-2019,"Gosliner TM, Behrens DW, Valdes A. 2008. Indo Pacific Nudibranchs and Sea Slugs. Sea Challengers, pp425",urn:lsid:marinespecies.org:taxname:221080,Halgerda tessellata,221080.0,urn:lsid:marinespecies.org:taxname:221080,accepted,Halgerda tessellata,Animalia,Mollusca,Gastropoda,Doridida,Discodorididae,Halgerda,,1.0,
IO/DV/GAS/00045,CMLRE,voucher specimen collections,CMLRE,PreservedSpecimen,IO/DV/GAS/00045,IO/DV/GAS/00045,1,Hermaphrodite,Adult,present,,24-12-2019,11:00:00,Benthic,SCUBA Diving,Arabian Sea,India,Angria Bank,32.0,32.0,16.21,72.09,,,"Sudhanshu Dixit, CMLRE",30-12-2019,"Gosliner TM, Behrens DW, Valdes A. 2008. Indo Pacific Nudibranchs and Sea Slugs. Sea Challengers, pp425",urn:lsid:marinespecies.org:taxname:599550,Phyllidia alyta,599550.0,urn:lsid:marinespecies.org:taxname:599550,accepted,Phyllidia alyta,Animalia,Mollusca,Gastropoda,Doridida,Phyllidiidae,Phyllidia,,1.0,0.0
IO/DV/GAS/00046,CMLRE,voucher specimen collections,CMLRE,PreservedSpecimen,IO/DV/GAS/00046,IO/DV/GAS/00046,1,Hermaphrodite,Adult,present,,10-05-2019,12:00:00,Benthic,SCUBA Diving,Arabian Sea,India,Angria Bank,35.0,35.0,16.24,72.06,,,"Sudhanshu Dixit, CMLRE",30-12-2019,"Gosliner TM, Behrens DW, Valdes A. 2008. Indo Pacific Nudibranchs and Sea Slugs. Sea Challengers, pp425",urn:lsid:marinespecies.org:taxname:599531,Taringa caudata,599531.0,urn:lsid:marinespecies.org:taxname:599531,unaccepted,Taringa sublutea,Animalia,Mollusca,Gastropoda,Doridida,Discodorididae,Taringa,,1.0,
IO/DV/GAS/00047,CMLRE,voucher specimen collections,CMLRE,PreservedSpecimen,IO/DV/GAS/00047,IO/DV/GAS/00047,1,Hermaphrodite,Adult,present,,07-05-2018,09:30:00,Benthic,SCUBA Diving,Arabian Sea,India,Near Eastern jetty (Agatti Island),15.0,15.0,10.86,72.2,,,"Sudhanshu Dixit, CMLRE",28-06-2020,,urn:lsid:marinespecies.org:taxname:536623,Phyllidia ocellata,536623.0,urn:lsid:marinespecies.org:taxname:536623,accepted,Phyllidia ocellata,Animalia,Mollusca,Gastropoda,Doridida,Phyllidiidae,Phyllidia,,1.0,0.0
IO/DV/GAS/00048,CMLRE,voucher specimen collections,CMLRE,PreservedSpecimen,IO/DV/GAS/00048,IO/DV/GAS/00048,2,Hermaphrodite,Adult,present,,03-05-2018,11:40:00,Benthic,SCUBA Diving,Arabian Sea,India,Agatti Island (Lagoon),10.0,10.0,10.86,72.18,,,"Sudhanshu Dixit, CMLRE",28-06-2020,"Too, C.C., Carlson, C., Hoff, P.J. and Malaquias, M.A.E., 2014. Diversity and systematics of Haminoeidae gastropods (Heterobranchia: Cephalaspidea) in the tropical West Pacific Ocean: new data on the genera Aliculastrum, Atys, Diniatys and Liloa. Zootaxa",urn:lsid:marinespecies.org:taxname:599460,Diniatys dubia,,,,,,,,,,,,,
IO/DV/GAS/00049,CMLRE,voucher specimen collections,CMLRE,PreservedSpecimen,IO/DV/GAS/00049,IO/DV/GAS/00049,1,Hermaphrodite,Adult,present,,03-05-2018,11:40:00,Benthic,SCUBA Diving,Arabian Sea,India,Agatti Island (Lagoon),10.0,10.0,10.86,72.18,,,"Sudhanshu Dixit, CMLRE",28-06-2020,"Too, C.C., Carlson, C., Hoff, P.J. and Malaquias, M.A.E., 2014. Diversity and systematics of Haminoeidae gastropods (Heterobranchia: Cephalaspidea) in the tropical West Pacific Ocean: new data on the genera Aliculastrum, Atys, Diniatys and Liloa. Zootaxa",urn:lsid:marinespecies.org:taxname:599460,Diniatys dubia,,,,,,,,,,,,,
IO/DV/GAS/00050,CMLRE,voucher specimen collections,CMLRE,PreservedSpecimen,IO/DV/GAS/00050,IO/DV/GAS/00050,1,Hermaphrodite,Adult,present,,03-05-2018,11:40:00,Benthic,SCUBA Diving,Arabian Sea,India,Agatti Island (Lagoon),10.0,10.0,10.86,72.18,,,"Sudhanshu Dixit, CMLRE",28-06-2020,"Too, C.C., Carlson, C., Hoff, P.J. and Malaquias, M.A.E., 2014. Diversity and systematics of Haminoeidae gastropods (Heterobranchia: Cephalaspidea) in the tropical West Pacific Ocean: new data on the genera Aliculastrum, Atys, Diniatys and Liloa. Zootaxa",urn:lsid:marinespecies.org:taxname:599460,Diniatys dubia,,,,,,,,,,,,,
IO/DV/POY/00002,CMLRE,voucher specimen collections,CMLRE,PreservedSpecimen,IO/DV/POY/00002,IO/DV/POY/00002,1,Hermaphrodite,Adult,present,,03-05-2018,11:30:00,Benthic,SCUBA Diving,Arabian Sea,India,Eastern jetty (Agatti Island),15.0,15.0,10.87,72.17,,,"Sudhanshu Dixit, CMLRE",11-07-2018,"Newman, L. J.; Cannon, L. R. G. (1997). Nine new species of Pseudobiceros (Platyhelminthes, Polycladida) from the Indo-Pacific. Raffles Bull Zoology., 45: 341-368.",urn:lsid:marinespecies.org:taxname:878956,Pseudobiceros hymanae,878956.0,urn:lsid:marinespecies.org:taxname:878956,accepted,Pseudobiceros hymanae,Animalia,Platyhelminthes,,Polycladida,Pseudocerotidae,Pseudobiceros,,1.0,0.0
IO/DV/POY/00004,CMLRE,voucher specimen collections,CMLRE,PreservedSpecimen,IO/DV/POY/00004,IO/DV/POY/00004,1,Hermaphrodite,,present,,05-05-2018,10:40:00,Benthic,SCUBA Diving,Arabian Sea,India,Eastern jetty (Agatti Island),15.0,15.0,10.87,72.18,,,"Sudhanshu Dixit, CMLRE",11-07-2018,"Bahia, J., Padula, V., Passeri Lavrado, H. & Quiroga, S. (2014) Taxonomy of Cotylea (Platyhelminthes: Polycladida) from Cabo Frio, southeastern Brazil, with the description of a new species. Zootaxa, 3873 (5), 495â€“525. http://dx.doi.org/10.11646/zootaxa.3873.5.3",urn:lsid:marinespecies.org:taxname:483942,Pseudoceros bicolor,483942.0,urn:lsid:marinespecies.org:taxname:483942,accepted,Pseudoceros bicolor,Animalia,Platyhelminthes,,Polycladida,Pseudocerotidae,Pseudoceros,,1.0,
